"종목코드","기준일","지표","값"
"002150","20250729","DY","0.0423"
"002170","20250729","DY","0.0274"
"002200","20250729","DY","0.0271"
"002220","20250729","DY","0.0036"
"002230","20250729","DY","0.0547"
"002240","20250729","DY","0.0191"
"002290","20250729","DY","0.0544"
"002310","20250729","DY","0.0275"
"002320","20250729","DY","0.0295"
"002350","20250729","DY","0.0214"
"002380","20250729","DY","0.0263"
"002390","20250729","DY","0.017"
"002450","20250729","DY","0.0395"
"002460","20250729","DY","0.0466"
"002600","20250729","DY","0.0388"
"002620","20250729","DY","0.0057"
"002700","20250729","DY","0.007"
"002710","20250729","DY","0.0052"
"002720","20250729","DY","0.0064"
"002760","20250729","DY","0.0049"
"002790","20250729","DY","0.0108"
"002800","20250729","DY","0.0106"
"002810","20250729","DY","0.0424"
"002840","20250729","DY","0.0123"
"002900","20250729","DY","0.022"
"002920","20250729","DY","0.0169"
"002960","20250729","DY","0.0614"
"003010","20250729","DY","0.0338"
"003030","20250729","DY","0.0084"
"003070","20250729","DY","0.0417"
"003080","20250729","DY","0.0482"
"003090","20250729","DY","0.0082"
"003100","20250729","DY","0.0234"
"003120","20250729","DY","0.0399"
"003160","20250729","DY","0.0073"
"003200","20250729","DY","0.0194"
"003220","20250729","DY","0.0228"
"003230","20250729","DY","0.0024"
"003240","20250729","DY","0.0017"
"003300","20250729","DY","0.053"
"003310","20250729","DY","0.023"
"003350","20250729","DY","0.0032"
"003380","20250729","DY","0.0126"
"003460","20250729","DY","0.0568"
"003470","20250729","DY","0.0543"
"003480","20250729","DY","0.0238"
"003490","20250729","DY","0.0314"
"003540","20250729","DY","0.0469"
"003550","20250729","DY","0.039"
"003570","20250729","DY","0.0239"
"003610","20250729","DY","0.0137"
"003650","20250729","DY","0.0263"
"003690","20250729","DY","0.0482"
"003720","20250729","DY","0.0049"
"003780","20250729","DY","0.0492"
"003800","20250729","DY","0.0484"
"003830","20250729","DY","0.0056"
"003850","20250729","DY","0.0118"
"003920","20250729","DY","0.0016"
"003960","20250729","DY","0.0074"
"004000","20250729","DY","0.0333"
"004020","20250729","DY","0.02"
"004080","20250729","DY","0.0204"
"004090","20250729","DY","0.0087"
"004100","20250729","DY","0.0043"
"004140","20250729","DY","0.0066"
"004150","20250729","DY","0.0376"
"004170","20250729","DY","0.0261"
"004250","20250729","DY","0.0237"
"004310","20250729","DY","0.0077"
"004360","20250729","DY","0.0212"
"004370","20250729","DY","0.0131"
"004380","20250729","DY","0.01"
"004430","20250729","DY","0.0272"
"004450","20250729","DY","0.0327"
"004490","20250729","DY","0.0154"
"004560","20250729","DY","0.0079"
"004590","20250729","DY","0.0363"
"004650","20250729","DY","0.0573"
"004690","20250729","DY","0.0213"
"004710","20250729","DY","0.0251"
"004770","20250729","DY","0.0167"
"004780","20250729","DY","0.0312"
"004800","20250729","DY","0.0357"
"004830","20250729","DY","0.0169"
"004840","20250729","DY","0.0189"
"004890","20250729","DY","0.0281"
"004910","20250729","DY","0.0337"
