"종목코드","기준일","지표","값"
"002100","20250320","DY","0.0486"
"002140","20250320","DY","0.0092"
"002150","20250320","DY","0.0423"
"002170","20250320","DY","0.031"
"002200","20250320","DY","0.0291"
"002220","20250320","DY","0.016"
"002230","20250320","DY","0.0643"
"002240","20250320","DY","0.0197"
"002290","20250320","DY","0.0446"
"002310","20250320","DY","0.0668"
"002320","20250320","DY","0.0308"
"002350","20250320","DY","0.0211"
"002380","20250320","DY","0.0292"
"002390","20250320","DY","0.0267"
"002450","20250320","DY","0.0427"
"002460","20250320","DY","0.0518"
"002600","20250320","DY","0.0364"
"002620","20250320","DY","0.0065"
"002700","20250320","DY","0.0099"
"002710","20250320","DY","0.0029"
"002760","20250320","DY","0.0047"
"002790","20250320","DY","0.0114"
"002800","20250320","DY","0.0115"
"002810","20250320","DY","0.0444"
"002840","20250320","DY","0.0108"
"002870","20250320","DY","0.0155"
"002900","20250320","DY","0.034"
"002920","20250320","DY","0.0327"
"002960","20250320","DY","0.0805"
"003010","20250320","DY","0.034"
"003030","20250320","DY","0.0078"
"003070","20250320","DY","0.0456"
"003080","20250320","DY","0.0552"
"003090","20250320","DY","0.005"
"003100","20250320","DY","0.025"
"003120","20250320","DY","0.098"
"003160","20250320","DY","0.0065"
"003200","20250320","DY","0.0123"
"003220","20250320","DY","0.0214"
"003230","20250320","DY","0.0023"
"003240","20250320","DY","0.0023"
"003300","20250320","DY","0.0569"
"003310","20250320","DY","0.025"
"003350","20250320","DY","0.002"
"003380","20250320","DY","0.0209"
"003460","20250320","DY","0.0517"
"003470","20250320","DY","0.0638"
"003480","20250320","DY","0.0282"
"003490","20250320","DY","0.0335"
"003540","20250320","DY","0.0699"
"003550","20250320","DY","0.0443"
"003570","20250320","DY","0.0209"
"003610","20250320","DY","0.0101"
"003650","20250320","DY","0.028"
"003670","20250320","DY","0.0017"
"003690","20250320","DY","0.0667"
"003720","20250320","DY","0.0049"
"003780","20250320","DY","0.0337"
"003800","20250320","DY","0.0559"
"003830","20250320","DY","0.0066"
"003850","20250320","DY","0.0107"
"003920","20250320","DY","0.0014"
"003960","20250320","DY","0.0085"
"004000","20250320","DY","0.0486"
"004020","20250320","DY","0.0341"
"004080","20250320","DY","0.0184"
"004090","20250320","DY","0.0094"
"004100","20250320","DY","0.0037"
"004140","20250320","DY","0.0088"
"004150","20250320","DY","0.0405"
"004170","20250320","DY","0.027"
"004250","20250320","DY","0.0252"
"004310","20250320","DY","0.0108"
"004360","20250320","DY","0.0257"
"004370","20250320","DY","0.0117"
