"종목코드","기준일","지표","값"
"000020","20250317","PER","31.4356"
"000020","20250317","PSR","0.4035"
"000020","20250317","PCR","-19.4265"
"000020","20250317","PBR","0.4253"
"000040","20250317","PER","-1.5659"
"000040","20250317","PSR","0.3372"
"000040","20250317","PCR","-1.6316"
"000040","20250317","PBR","0.9533"
"000050","20250317","PER","7.6231"
"000050","20250317","PSR","0.4549"
"000050","20250317","PCR","3.0415"
"000050","20250317","PBR","0.2425"
"000070","20250317","PER","4.6204"
"000070","20250317","PSR","0.1487"
"000070","20250317","PCR","2.0655"
"000070","20250317","PBR","0.1788"
"000080","20250317","PER","14.2171"
"000080","20250317","PSR","0.524"
"000080","20250317","PCR","4.6216"
"000080","20250317","PBR","1.2035"
"000100","20250317","PER","182.9815"
"000100","20250317","PSR","4.8758"
"000100","20250317","PCR","184.6571"
"000100","20250317","PBR","4.7284"
"000120","20250317","PER","8.0604"
"000120","20250317","PSR","0.1699"
"000120","20250317","PCR","3.1992"
"000120","20250317","PBR","0.5128"
"000140","20250317","PER","2.1929"
"000140","20250317","PSR","0.077"
"000140","20250317","PCR","0.7262"
"000140","20250317","PBR","0.1755"
"000150","20250317","PER","24.7017"
"000150","20250317","PSR","0.3068"
"000150","20250317","PCR","-14.2258"
"000150","20250317","PBR","0.4827"
"000180","20250317","PER","-12.3642"
"000180","20250317","PSR","0.5926"
"000180","20250317","PCR","26.5466"
"000180","20250317","PBR","0.1565"
"000210","20250317","PER","6.969"
"000210","20250317","PSR","0.1338"
"000210","20250317","PCR","2.1475"
"000210","20250317","PBR","0.1629"
"000220","20250317","PER","7.2879"
"000220","20250317","PSR","0.5623"
"000220","20250317","PCR","2.6317"
"000220","20250317","PBR","0.5998"
"000230","20250317","PER","-1.8555"
"000230","20250317","PSR","0.1099"
"000230","20250317","PCR","2.3345"
"000230","20250317","PBR","0.4379"
"000240","20250317","PER","4.1832"
"000240","20250317","PSR","1.0979"
"000240","20250317","PCR","14.3016"
"000240","20250317","PBR","0.3711"
"000250","20250317","PER","418.2884"
"000250","20250317","PSR","21.4867"
"000250","20250317","PCR","116.5543"
"000250","20250317","PBR","13.6495"
"000270","20250317","PER","4.0194"
"000270","20250317","PSR","0.3657"
"000270","20250317","PCR","3.1271"
"000270","20250317","PBR","0.7621"
"000300","20250317","PER","-1.3753"
"000300","20250317","PSR","4.4274"
"000300","20250317","PCR","-4.4889"
"000300","20250317","PBR","-1.2042"
"000320","20250317","PER","2.3264"
"000320","20250317","PSR","0.1531"
"000320","20250317","PCR","2.6825"
"000320","20250317","PBR","0.2597"
"000370","20250317","PER","1.5807"
"000370","20250317","PCR","0.3458"
"000370","20250317","PBR","0.1552"
"000390","20250317","PER","11.3202"
"000390","20250317","PSR","0.2792"
"000390","20250317","PCR","5.8293"
"000390","20250317","PBR","0.5557"
"000400","20250317","PER","4.5858"
"000400","20250317","PCR","0.8589"
"000400","20250317","PBR","0.5404"
"000430","20250317","PER","7.0843"
"000430","20250317","PSR","0.1652"
"000430","20250317","PCR","4.1015"
"000430","20250317","PBR","0.3397"
"000440","20250317","PER","-108.6634"
"000440","20250317","PSR","1.7456"
"000440","20250317","PCR","-173.8615"
"000440","20250317","PBR","1.5885"
"000480","20250317","PER","99.4078"
"000480","20250317","PSR","0.3065"
"000480","20250317","PCR","3.0681"
"000480","20250317","PBR","0.2986"
"000490","20250317","PER","-8.2488"
"000490","20250317","PSR","0.2348"
"000490","20250317","PCR","-1.8778"
"000490","20250317","PBR","0.512"
"000500","20250317","PER","34.6618"
"000500","20250317","PSR","0.5057"
"000500","20250317","PCR","22.2826"
"000500","20250317","PBR","2.3085"
"000520","20250317","PER","-48.3805"
"000520","20250317","PSR","1.2332"
"000520","20250317","PCR","104.2041"
"000520","20250317","PBR","1.589"
"000540","20250317","PER","0.5902"
"000540","20250317","PCR","0.3293"
"000540","20250317","PBR","0.1965"
"000590","20250317","PER","3.2343"
"000590","20250317","PSR","0.5678"
"000590","20250317","PCR","2.6305"
"000590","20250317","PBR","0.2343"
"000640","20250317","PER","11.4026"
"000640","20250317","PSR","0.4858"
"000640","20250317","PCR","5.9847"
"000640","20250317","PBR","0.6008"
"000020","20250317","DY","0.0291"
"000050","20250317","DY","0.019"
"000070","20250317","DY","0.0582"
"000080","20250317","DY","0.0489"
"000100","20250317","DY","0.0036"
"000120","20250317","DY","0.0056"
"000140","20250317","DY","0.0641"
"000150","20250317","DY","0.0059"
"000210","20250317","DY","0.0281"
"000230","20250317","DY","0.0162"
"000240","20250317","DY","0.0429"
"000270","20250317","DY","0.0567"
"000320","20250317","DY","0.0348"
"000370","20250317","DY","0.0488"
"000390","20250317","DY","0.062"
"000430","20250317","DY","0.0302"
"000440","20250317","DY","0.0229"
"000480","20250317","DY","0.0774"
"000490","20250317","DY","0.008"
"000590","20250317","DY","0.0069"
"000640","20250317","DY","0.0223"
"000660","20250317","DY","0.0058"
"000670","20250317","DY","0.0206"
"000700","20250317","DY","0.0638"
"000720","20250317","DY","0.0182"
"000810","20250317","DY","0.0412"
"000850","20250317","DY","0.0457"
"000860","20250317","DY","0.0206"
"000880","20250317","DY","0.016"
"000910","20250317","DY","0.0235"
"000970","20250317","DY","0.0641"
"000990","20250317","DY","0.0123"
"001040","20250317","DY","0.0229"
"001060","20250317","DY","0.0181"
"001120","20250317","DY","0.0466"
"001130","20250317","DY","0.0192"
"001200","20250317","DY","0.0232"
"001230","20250317","DY","0.0787"
"001250","20250317","DY","0.0096"
"001270","20250317","DY","0.0557"
"001340","20250317","DY","0.0088"
"001390","20250317","DY","0.0311"
"001420","20250317","DY","0.0397"
"001430","20250317","DY","0.059"
"001450","20250317","DY","0.0901"
"001460","20250317","DY","0.0111"
"001500","20250317","DY","0.0691"
"001510","20250317","DY","0.0043"
"001520","20250317","DY","0.0647"
"001530","20250317","DY","0.0054"
"001540","20250317","DY","0.0333"
"001560","20250317","DY","0.0335"
"001630","20250317","DY","0.0323"
"001680","20250317","DY","0.0327"
"001720","20250317","DY","0.0579"
"001740","20250317","DY","0.0454"
"001750","20250317","DY","0.0664"
"001770","20250317","DY","0.0068"
"001790","20250317","DY","0.0417"
"001800","20250317","DY","0.049"
"001810","20250317","DY","0.0069"
"001820","20250317","DY","0.018"
"001940","20250317","DY","0.0455"
"002020","20250317","DY","0.0216"
"002030","20250317","DY","0.0188"
"002100","20250317","DY","0.049"
"002140","20250317","DY","0.0089"
"002150","20250317","DY","0.0421"
"002170","20250317","DY","0.0314"
"002200","20250317","DY","0.0291"
"002220","20250317","DY","0.0157"
"002230","20250317","DY","0.0641"
"002240","20250317","DY","0.0197"
"002290","20250317","DY","0.0449"
"002310","20250317","DY","0.0669"
"002320","20250317","DY","0.0308"
"002350","20250317","DY","0.0214"
"002380","20250317","DY","0.0284"
"002390","20250317","DY","0.0264"
"002450","20250317","DY","0.0426"
"002460","20250317","DY","0.0515"
"002600","20250317","DY","0.0367"
"002620","20250317","DY","0.0068"
"002700","20250317","DY","0.0103"
"002710","20250317","DY","0.003"
"002760","20250317","DY","0.0045"
"002790","20250317","DY","0.0113"
"002800","20250317","DY","0.0114"
"002810","20250317","DY","0.0444"
"002840","20250317","DY","0.0109"
"002870","20250317","DY","0.0158"
"002900","20250317","DY","0.0325"
"002920","20250317","DY","0.0326"
"002960","20250317","DY","0.0809"
"003010","20250317","DY","0.0328"
"003030","20250317","DY","0.0075"
"003070","20250317","DY","0.0448"
"003080","20250317","DY","0.055"
"003090","20250317","DY","0.005"
"003100","20250317","DY","0.0252"
"003120","20250317","DY","0.0978"
"003160","20250317","DY","0.0071"
"003200","20250317","DY","0.0126"
"003220","20250317","DY","0.0214"
"003230","20250317","DY","0.0023"
"003240","20250317","DY","0.0024"
"003300","20250317","DY","0.0569"
"003310","20250317","DY","0.0236"
"003350","20250317","DY","0.002"
"003380","20250317","DY","0.023"
"003460","20250317","DY","0.0516"
"003470","20250317","DY","0.0636"
"003480","20250317","DY","0.0282"
"003490","20250317","DY","0.0328"
"003540","20250317","DY","0.0699"
"003550","20250317","DY","0.0452"
"003570","20250317","DY","0.0194"
"003610","20250317","DY","0.0097"
"003650","20250317","DY","0.0282"
"003670","20250317","DY","0.0018"
"003690","20250317","DY","0.0668"
"003720","20250317","DY","0.0048"
"003780","20250317","DY","0.0284"
"003800","20250317","DY","0.0559"
"003830","20250317","DY","0.0067"
"003850","20250317","DY","0.0105"
"003920","20250317","DY","0.0014"
"003960","20250317","DY","0.0087"
"004000","20250317","DY","0.0494"
"004020","20250317","DY","0.0343"
"004080","20250317","DY","0.0185"
"004090","20250317","DY","0.0094"
"004100","20250317","DY","0.0036"
"004140","20250317","DY","0.0085"
"004150","20250317","DY","0.0403"
"004170","20250317","DY","0.0267"
"004250","20250317","DY","0.0251"
"004310","20250317","DY","0.0107"
"004360","20250317","DY","0.0252"
"004370","20250317","DY","0.0129"
"004380","20250317","DY","0.0088"
"004430","20250317","DY","0.0208"
"004450","20250317","DY","0.039"
"004490","20250317","DY","0.01"
"004590","20250317","DY","0.0415"
"004650","20250317","DY","0.0673"
"004690","20250317","DY","0.0333"
"004710","20250317","DY","0.0239"
"004770","20250317","DY","0.013"
"004780","20250317","DY","0.0289"
"004800","20250317","DY","0.0622"
"004830","20250317","DY","0.0061"
"004840","20250317","DY","0.0237"
"004890","20250317","DY","0.0251"
"004910","20250317","DY","0.0341"
"004960","20250317","DY","0.0159"
"004970","20250317","DY","0.0572"
"004980","20250317","DY","0.0479"
"004990","20250317","DY","0.0645"
"005010","20250317","DY","0.04"
"005090","20250317","DY","0.0734"
"005160","20250317","DY","0.0311"
"005180","20250317","DY","0.0279"
"005250","20250317","DY","0.0213"
"005290","20250317","DY","0.0038"
"005300","20250317","DY","0.0313"
"005360","20250317","DY","0.0249"
"005380","20250317","DY","0.0573"
"005430","20250317","DY","0.0196"
"005440","20250317","DY","0.0377"
"005490","20250317","DY","0.0326"
"005500","20250317","DY","0.0449"
"005610","20250317","DY","0.0328"
"005670","20250317","DY","0.0179"
"005680","20250317","DY","0.0301"
"005710","20250317","DY","0.0235"
"005720","20250317","DY","0.0278"
"005740","20250317","DY","0.0186"
"005750","20250317","DY","0.0272"
"005800","20250317","DY","0.0145"
"005810","20250317","DY","0.0493"
"005820","20250317","DY","0.036"
"005830","20250317","DY","0.0557"
"005850","20250317","DY","0.0258"
"005860","20250317","DY","0.0191"
"005930","20250317","DY","0.0251"
"005940","20250317","DY","0.0532"
"005960","20250317","DY","0.0834"
"005990","20250317","DY","0.0213"
"006040","20250317","DY","0.0301"
"006050","20250317","DY","0.0059"
"006060","20250317","DY","0.0364"
"006090","20250317","DY","0.0236"
"006110","20250317","DY","0.0034"
"006120","20250317","DY","0.0423"
"006140","20250317","DY","0.0203"
