"종목코드","종목명","시장구분","종가","시가총액","기준일","EPS","선행EPS","BPS","주당배당금","종목구분"
"369370","블리츠웨이스튜디오","KOSDAQ","1586","79096850846.0","20250317","","","615.0","0.0","보통주"
"370090","퓨런티어","KOSDAQ","17720","151627027600.0","20250317","923.0","","5992.0","0.0","보통주"
"371950","풍원정밀","KOSDAQ","13300","279838490400.0","20250317","","","2742.0","0.0","보통주"
"372170","윤성에프앤씨","KOSDAQ","37500","299214300000.0","20250317","3073.0","","20202.0","150.0","보통주"
"372320","큐로셀","KOSDAQ","28250","401130027250.0","20250317","","","4341.0","0.0","보통주"
"372800","아이티아이즈","KOSDAQ","4505","27151589950.0","20250317","","","2856.0","0.0","보통주"
"372910","한컴라이프케어","KOSPI","3380","93539492280.0","20250317","30.0","273.0","4609.0","0.0","보통주"
"373110","엑셀세라퓨틱스","KOSDAQ","4130","45175848060.0","20250317","","","260.0","0.0","보통주"
"373160","데이원컴퍼니","KOSDAQ","6840","93061100160.0","20250317","","","","0.0","보통주"
"373170","엠아이큐브솔루션","KOSDAQ","7820","39396612600.0","20250317","602.0","","4626.0","200.0","보통주"
"373200","엑스플러스","KOSDAQ","630","56530628910.0","20250317","","","66.0","0.0","보통주"
"373220","LG에너지솔루션","KOSPI","325000","76050000000000.0","20250317","5287.0","3349.0","86328.0","0.0","보통주"
"375500","DL이앤씨","KOSPI","43900","1698650049700.0","20250317","4679.0","8467.0","118750.0","500.0","보통주"
"37550K","DL이앤씨우","KOSPI","17700","37415764500.0","20250317","","","","550.0","우선주"
"37550L","DL이앤씨2우(전환)","KOSPI","27650","58395445150.0","20250317","","","","500.0","우선주"
"376180","피코그램","KOSDAQ","2325","42992453850.0","20250317","243.0","","1956.0","0.0","보통주"
"376270","에이치이엠파마","KOSDAQ","22450","156297775550.0","20250317","","","2787.0","0.0","보통주"
"376290","씨유테크","KOSDAQ","3260","57563450000.0","20250317","52.0","","5693.0","16.0","보통주"
"376300","디어유","KOSDAQ","39400","935293196400.0","20250317","1104.0","2103.0","7141.0","0.0","보통주"
"376930","노을","KOSDAQ","2630","97170767800.0","20250317","","","1164.0","0.0","보통주"
"376980","원티드랩","KOSDAQ","6480","63212361120.0","20250317","155.0","","3829.0","0.0","보통주"
"377030","비트맥스","KOSDAQ","1749","65117407278.0","20250317","","","1142.0","0.0","보통주"
"377190","디앤디플랫폼리츠","KOSPI","3225","285090000000.0","20250317","","","","","리츠"
"377220","프롬바이오","KOSDAQ","1900","53789000000.0","20250317","","","2708.0","0.0","보통주"
"377300","카카오페이","KOSPI","31600","4255481023600.0","20250317","19.0","355.0","13981.0","0.0","보통주"
"377330","이지트로닉스","KOSDAQ","5300","43141756200.0","20250317","","","7078.0","120.0","보통주"
"377450","리파인","KOSDAQ","11510","199468300000.0","20250317","1374.0","","10147.0","0.0","보통주"
"377460","위니아에이드","KOSDAQ","1691","26030247855.0","20250317","","","4966.0","0.0","보통주"
"377480","마음AI","KOSDAQ","18200","121625340200.0","20250317","","","3271.0","0.0","보통주"
"377740","바이오노트","KOSPI","4895","499564354960.0","20250317","","","15252.0","200.0","보통주"
"378340","필에너지","KOSDAQ","17940","381868723080.0","20250317","","","6025.0","0.0","보통주"
"378800","샤페론","KOSDAQ","3425","103239881175.0","20250317","","","823.0","0.0","보통주"
"378850","화승알앤에이","KOSPI","3160","60019848680.0","20250317","1275.0","","5925.0","50.0","보통주"
"380540","옵티코어","KOSDAQ","1376","41141844096.0","20250317","","","694.0","0.0","보통주"
"381620","제닉스","KOSDAQ","10250","134458680000.0","20250317","330.0","","2077.0","0.0","보통주"
"381970","케이카","KOSPI","13000","626366949000.0","20250317","590.0","1058.0","4876.0","760.0","보통주"
"382150","온코크로스","KOSDAQ","10340","122859228580.0","20250317","","","1586.0","0.0","보통주"
"382480","지아이텍","KOSDAQ","2250","88553565000.0","20250317","152.0","","2006.0","36.0","보통주"
