"종목코드","기준일","지표","값"
"000020","20250314","PER","31.3848"
"000020","20250314","PSR","0.4028"
"000020","20250314","PCR","-19.3951"
"000020","20250314","PBR","0.4246"
"000040","20250314","PER","-1.5982"
"000040","20250314","PSR","0.3441"
"000040","20250314","PCR","-1.6652"
"000040","20250314","PBR","0.9729"
"000050","20250314","PER","7.6115"
"000050","20250314","PSR","0.4542"
"000050","20250314","PCR","3.0369"
"000050","20250314","PBR","0.2422"
"000070","20250314","PER","4.6358"
"000070","20250314","PSR","0.1492"
"000070","20250314","PCR","2.0723"
"000070","20250314","PBR","0.1794"
"000080","20250314","PER","14.1073"
"000080","20250314","PSR","0.52"
"000080","20250314","PCR","4.5859"
"000080","20250314","PBR","1.1942"
"000100","20250314","PER","181.6713"
"000100","20250314","PSR","4.8409"
"000100","20250314","PCR","183.335"
"000100","20250314","PBR","4.6946"
"000120","20250314","PER","8.1415"
"000120","20250314","PSR","0.1716"
"000120","20250314","PCR","3.2313"
"000120","20250314","PBR","0.5179"
"000140","20250314","PER","2.1801"
"000140","20250314","PSR","0.0766"
"000140","20250314","PCR","0.7219"
"000140","20250314","PBR","0.1745"
"000150","20250314","PER","24.994"
"000150","20250314","PSR","0.3104"
"000150","20250314","PCR","-14.3942"
"000150","20250314","PBR","0.4884"
"000180","20250314","PER","-12.4502"
"000180","20250314","PSR","0.5968"
"000180","20250314","PCR","26.7313"
"000180","20250314","PBR","0.1576"
"000210","20250314","PER","6.8611"
"000210","20250314","PSR","0.1318"
"000210","20250314","PCR","2.1143"
"000210","20250314","PBR","0.1603"
"000220","20250314","PER","7.2387"
"000220","20250314","PSR","0.5585"
"000220","20250314","PCR","2.614"
"000220","20250314","PBR","0.5957"
"000230","20250314","PER","-1.8405"
"000230","20250314","PSR","0.109"
"000230","20250314","PCR","2.3156"
"000230","20250314","PBR","0.4344"
"000240","20250314","PER","4.1268"
"000240","20250314","PSR","1.0831"
"000240","20250314","PCR","14.1089"
"000240","20250314","PBR","0.3661"
"000250","20250314","PER","419.6038"
"000250","20250314","PSR","21.5543"
"000250","20250314","PCR","116.9208"
"000250","20250314","PBR","13.6925"
"000270","20250314","PER","4.0479"
"000270","20250314","PSR","0.3683"
"000270","20250314","PCR","3.1493"
"000270","20250314","PBR","0.7675"
"000300","20250314","PER","-1.3753"
"000300","20250314","PSR","4.4274"
"000300","20250314","PCR","-4.4889"
"000300","20250314","PBR","-1.2042"
"000320","20250314","PER","2.2713"
"000320","20250314","PSR","0.1494"
"000320","20250314","PCR","2.619"
"000320","20250314","PBR","0.2536"
"000370","20250314","PER","1.5826"
"000370","20250314","PCR","0.3463"
"000370","20250314","PBR","0.1554"
"000390","20250314","PER","10.9165"
"000390","20250314","PSR","0.2693"
"000390","20250314","PCR","5.6214"
"000390","20250314","PBR","0.5358"
"000400","20250314","PER","4.6286"
"000400","20250314","PCR","0.8669"
"000400","20250314","PBR","0.5454"
"000430","20250314","PER","7.1038"
"000430","20250314","PSR","0.1657"
"000430","20250314","PCR","4.1127"
"000430","20250314","PBR","0.3406"
"000440","20250314","PER","-108.8191"
"000440","20250314","PSR","1.7481"
