"종목코드","기준일","지표","값"
"000020","20250318","PER","31.5372"
"000020","20250318","PSR","0.4048"
"000020","20250318","PCR","-19.4893"
"000020","20250318","PBR","0.4267"
"000040","20250318","PER","-1.5901"
"000040","20250318","PSR","0.3424"
"000040","20250318","PCR","-1.6568"
"000040","20250318","PBR","0.968"
"000050","20250318","PER","7.5999"
"000050","20250318","PSR","0.4535"
"000050","20250318","PCR","3.0323"
"000050","20250318","PBR","0.2418"
"000070","20250318","PER","4.6204"
"000070","20250318","PSR","0.1487"
"000070","20250318","PCR","2.0655"
"000070","20250318","PBR","0.1788"
"000080","20250318","PER","14.1731"
"000080","20250318","PSR","0.5224"
"000080","20250318","PCR","4.6074"
"000080","20250318","PBR","1.1998"
"000100","20250318","PER","184.146"
"000100","20250318","PSR","4.9069"
"000100","20250318","PCR","185.8324"
"000100","20250318","PBR","4.7585"
"000120","20250318","PER","7.9794"
"000120","20250318","PSR","0.1682"
"000120","20250318","PCR","3.167"
"000120","20250318","PBR","0.5076"
"000140","20250318","PER","2.1954"
"000140","20250318","PSR","0.0771"
"000140","20250318","PCR","0.727"
"000140","20250318","PBR","0.1757"
"000150","20250318","PER","25.0671"
"000150","20250318","PSR","0.3113"
"000150","20250318","PCR","-14.4363"
"000150","20250318","PBR","0.4899"
"000180","20250318","PER","-24.8006"
"000180","20250318","PSR","0.6239"
"000180","20250318","PCR","446.4102"
"000180","20250318","PBR","0.1545"
"000210","20250318","PER","7.7508"
"000210","20250318","PSR","0.131"
"000210","20250318","PCR","1.3203"
"000210","20250318","PBR","0.1586"
"000220","20250318","PER","7.3206"
"000220","20250318","PSR","0.5648"
"000220","20250318","PCR","2.6436"
"000220","20250318","PBR","0.6024"
"000230","20250318","PER","-1.8615"
"000230","20250318","PSR","0.1103"
"000230","20250318","PCR","2.342"
"000230","20250318","PBR","0.4393"
"000240","20250318","PER","4.1576"
"000240","20250318","PSR","1.0911"
"000240","20250318","PCR","14.214"
"000240","20250318","PBR","0.3688"
"000250","20250318","PER","413.4653"
"000250","20250318","PSR","21.239"
"000250","20250318","PCR","115.2104"
"000250","20250318","PBR","13.4922"
"000300","20250318","PER","-1.3753"
"000300","20250318","PSR","4.4274"
"000300","20250318","PCR","-4.4889"
"000300","20250318","PBR","-1.2042"
"000320","20250318","PER","2.2972"
"000320","20250318","PSR","0.1511"
"000320","20250318","PCR","2.6489"
"000320","20250318","PBR","0.2565"
"000370","20250318","PER","1.6269"
"000370","20250318","PCR","0.356"
"000370","20250318","PBR","0.1598"
"000390","20250318","PER","11.4079"
"000390","20250318","PSR","0.2814"
"000390","20250318","PCR","5.8745"
"000390","20250318","PBR","0.56"
"000400","20250318","PER","4.533"
"000400","20250318","PCR","0.849"
"000400","20250318","PBR","0.5341"
"000430","20250318","PER","7.094"
"000430","20250318","PSR","0.1655"
"000430","20250318","PCR","4.1071"
"000430","20250318","PBR","0.3402"
"000440","20250318","PER","-110.5316"
"000440","20250318","PSR","1.7756"
"000440","20250318","PCR","-176.8505"
"000440","20250318","PBR","1.6158"
"000480","20250318","PER","99.0327"
"000480","20250318","PSR","0.3053"
"000480","20250318","PCR","3.0566"
"000480","20250318","PBR","0.2974"
"000490","20250318","PER","-8.209"
"000490","20250318","PSR","0.2336"
"000490","20250318","PCR","-1.8688"
"000490","20250318","PBR","0.5095"
"000500","20250318","PER","34.4648"
"000500","20250318","PSR","0.5028"
"000500","20250318","PCR","22.156"
"000500","20250318","PBR","2.2954"
"000520","20250318","PER","-47.4508"
"000520","20250318","PSR","1.2095"
"000520","20250318","PCR","102.2018"
"000520","20250318","PBR","1.5585"
"000540","20250318","PER","0.5956"
"000540","20250318","PCR","0.3323"
"000540","20250318","PBR","0.1983"
"000590","20250318","PER","3.2433"
"000590","20250318","PSR","0.5694"
"000590","20250318","PCR","2.6378"
"000590","20250318","PBR","0.235"
"000640","20250318","PER","11.4951"
"000640","20250318","PSR","0.4897"
"000640","20250318","PCR","6.0333"
"000640","20250318","PBR","0.6056"
"000650","20250318","PER","-9.8039"
"000650","20250318","PSR","1.2586"
"000650","20250318","PCR","-23.2844"
"000650","20250318","PBR","3.268"
"000020","20250318","DY","0.029"
"000050","20250318","DY","0.019"
"000070","20250318","DY","0.0582"
"000080","20250318","DY","0.0491"
"000100","20250318","DY","0.0036"
"000120","20250318","DY","0.0056"
"000140","20250318","DY","0.064"
"000150","20250318","DY","0.0058"
"000210","20250318","DY","0.0285"
"000230","20250318","DY","0.0161"
"000240","20250318","DY","0.0431"
"000320","20250318","DY","0.0352"
"000370","20250318","DY","0.0474"
"000390","20250318","DY","0.0615"
"000430","20250318","DY","0.0301"
"000440","20250318","DY","0.0225"
"000480","20250318","DY","0.0777"
"000490","20250318","DY","0.0081"
"000590","20250318","DY","0.0069"
"000640","20250318","DY","0.0221"
"000660","20250318","DY","0.0059"
"000670","20250318","DY","0.0204"
"000700","20250318","DY","0.064"
"000720","20250318","DY","0.0179"
"000810","20250318","DY","0.0406"
"000850","20250318","DY","0.0464"
"000860","20250318","DY","0.0209"
"000880","20250318","DY","0.0154"
"000910","20250318","DY","0.0237"
"000970","20250318","DY","0.0638"
"000990","20250318","DY","0.0124"
"001040","20250318","DY","0.0236"
"001060","20250318","DY","0.0181"
"001120","20250318","DY","0.0465"
"001130","20250318","DY","0.0194"
"001200","20250318","DY","0.0231"
"001230","20250318","DY","0.0784"
"001250","20250318","DY","0.0095"
"001270","20250318","DY","0.0557"
"001340","20250318","DY","0.0088"
"001390","20250318","DY","0.0312"
"001420","20250318","DY","0.041"
"001430","20250318","DY","0.0602"
"001450","20250318","DY","0.0889"
"001460","20250318","DY","0.011"
"001500","20250318","DY","0.069"
"001510","20250318","DY","0.0042"
"001520","20250318","DY","0.0648"
"001530","20250318","DY","0.0054"
"001540","20250318","DY","0.0332"
"001560","20250318","DY","0.0334"
"001630","20250318","DY","0.0325"
"001680","20250318","DY","0.0328"
"001720","20250318","DY","0.056"
"001740","20250318","DY","0.0457"
"001750","20250318","DY","0.0667"
"001770","20250318","DY","0.0067"
"001790","20250318","DY","0.0413"
"001800","20250318","DY","0.0491"
"001810","20250318","DY","0.007"
"001820","20250318","DY","0.0179"
"001940","20250318","DY","0.0457"
"002020","20250318","DY","0.0202"
"002030","20250318","DY","0.0189"
"002100","20250318","DY","0.0488"
"002140","20250318","DY","0.0089"
"002150","20250318","DY","0.042"
"002170","20250318","DY","0.0314"
"002200","20250318","DY","0.0291"
"002220","20250318","DY","0.0158"
"002230","20250318","DY","0.0641"
"002240","20250318","DY","0.0198"
"002290","20250318","DY","0.044"
"002310","20250318","DY","0.0669"
"002320","20250318","DY","0.0308"
"002350","20250318","DY","0.0211"
"002380","20250318","DY","0.0287"
"002390","20250318","DY","0.0265"
"002450","20250318","DY","0.0424"
"002460","20250318","DY","0.0513"
"002600","20250318","DY","0.0367"
"002620","20250318","DY","0.006"
"002700","20250318","DY","0.0103"
"002710","20250318","DY","0.003"
"002760","20250318","DY","0.0045"
"002790","20250318","DY","0.0114"
"002800","20250318","DY","0.0115"
"002810","20250318","DY","0.0444"
"002840","20250318","DY","0.0109"
"002870","20250318","DY","0.0158"
"002900","20250318","DY","0.0318"
"002920","20250318","DY","0.0327"
"002960","20250318","DY","0.0808"
"003010","20250318","DY","0.0328"
"003030","20250318","DY","0.0077"
"003070","20250318","DY","0.0449"
"003080","20250318","DY","0.0553"
"003090","20250318","DY","0.005"
"003100","20250318","DY","0.0252"
"003120","20250318","DY","0.0982"
"003160","20250318","DY","0.0071"
"003200","20250318","DY","0.0124"
"003220","20250318","DY","0.0213"
"003230","20250318","DY","0.0023"
"003240","20250318","DY","0.0024"
"003300","20250318","DY","0.0568"
"003310","20250318","DY","0.024"
"003350","20250318","DY","0.002"
"003380","20250318","DY","0.0229"
"003460","20250318","DY","0.0517"
"003470","20250318","DY","0.0636"
"003480","20250318","DY","0.0281"
"003490","20250318","DY","0.033"
"003540","20250318","DY","0.0693"
"003550","20250318","DY","0.0451"
"003570","20250318","DY","0.02"
"003610","20250318","DY","0.0098"
"003650","20250318","DY","0.0278"
"003670","20250318","DY","0.0018"
"003690","20250318","DY","0.0666"
"003720","20250318","DY","0.0048"
"003780","20250318","DY","0.0285"
"003800","20250318","DY","0.056"
"003830","20250318","DY","0.0067"
"003850","20250318","DY","0.0105"
"003920","20250318","DY","0.0014"
"003960","20250318","DY","0.0087"
"004000","20250318","DY","0.0495"
"004020","20250318","DY","0.0341"
"004080","20250318","DY","0.0184"
"004090","20250318","DY","0.0092"
"004100","20250318","DY","0.0036"
"004140","20250318","DY","0.0087"
"004150","20250318","DY","0.0407"
"004170","20250318","DY","0.0271"
"004250","20250318","DY","0.0251"
"004310","20250318","DY","0.0107"
"004360","20250318","DY","0.0252"
"004370","20250318","DY","0.0125"
"004380","20250318","DY","0.0088"
"004430","20250318","DY","0.0208"
"004450","20250318","DY","0.0388"
"004490","20250318","DY","0.01"
"004590","20250318","DY","0.0414"
"004650","20250318","DY","0.0673"
"004690","20250318","DY","0.0335"
"004710","20250318","DY","0.0239"
"004770","20250318","DY","0.013"
"004780","20250318","DY","0.029"
"004800","20250318","DY","0.062"
"004830","20250318","DY","0.0061"
"004840","20250318","DY","0.0238"
"004890","20250318","DY","0.0247"
"004910","20250318","DY","0.034"
"004960","20250318","DY","0.0159"
"004970","20250318","DY","0.0573"
"004980","20250318","DY","0.0483"
"004990","20250318","DY","0.0648"
"005010","20250318","DY","0.0371"
"005090","20250318","DY","0.0736"
"005160","20250318","DY","0.0311"
"005180","20250318","DY","0.0276"
"005250","20250318","DY","0.0211"
"005290","20250318","DY","0.0039"
"005300","20250318","DY","0.0317"
"005360","20250318","DY","0.0249"
"005380","20250318","DY","0.0569"
"005430","20250318","DY","0.0196"
"005440","20250318","DY","0.0377"
"005490","20250318","DY","0.0328"
"005500","20250318","DY","0.0446"
"005610","20250318","DY","0.0328"
"005670","20250318","DY","0.0178"
"005680","20250318","DY","0.0299"
"005710","20250318","DY","0.0236"
"005720","20250318","DY","0.0279"
"005740","20250318","DY","0.0185"
"005750","20250318","DY","0.0276"
"005800","20250318","DY","0.0146"
"005810","20250318","DY","0.0497"
"005820","20250318","DY","0.0361"
"005830","20250318","DY","0.0547"
"005850","20250318","DY","0.0254"
"005860","20250318","DY","0.0195"
"005930","20250318","DY","0.0251"
"005940","20250318","DY","0.0528"
"005960","20250318","DY","0.0828"
"005990","20250318","DY","0.0214"
"006040","20250318","DY","0.0302"
"006050","20250318","DY","0.006"
"006060","20250318","DY","0.0366"
"006090","20250318","DY","0.0236"
"006110","20250318","DY","0.0034"
"006120","20250318","DY","0.0424"
"006140","20250318","DY","0.0208"
"006200","20250318","DY","0.0288"
"006220","20250318","DY","0.0126"
"006260","20250318","DY","0.013"
"006280","20250318","DY","0.0111"
"006370","20250318","DY","0.0061"
"006390","20250318","DY","0.0484"
"006400","20250318","DY","0.0052"
"006620","20250318","DY","0.0236"
"006650","20250318","DY","0.0103"
"006660","20250318","DY","0.0031"
"006730","20250318","DY","0.009"
"006740","20250318","DY","0.04"
"006800","20250318","DY","0.0152"
"006840","20250318","DY","0.0189"
"006880","20250318","DY","0.0169"
"006890","20250318","DY","0.017"
"006980","20250318","DY","0.0206"
"007070","20250318","DY","0.0342"
"007160","20250318","DY","0.0059"
"007210","20250318","DY","0.0273"
"007310","20250318","DY","0.0224"
"007330","20250318","DY","0.0794"
"007340","20250318","DY","0.0276"
"007370","20250318","DY","0.0244"
"007540","20250318","DY","0.0048"
"007570","20250318","DY","0.0137"
"007590","20250318","DY","0.0497"
"007660","20250318","DY","0.0024"
"007690","20250318","DY","0.0397"
"007700","20250318","DY","0.032"
"007770","20250318","DY","0.0048"
"007860","20250318","DY","0.02"
"007980","20250318","DY","0.0256"
"008040","20250318","DY","0.0145"
"008060","20250318","DY","0.0557"
"008250","20250318","DY","0.0193"
"008260","20250318","DY","0.0354"
"008370","20250318","DY","0.0545"
"008420","20250318","DY","0.0187"
"008470","20250318","DY","0.0163"
"008490","20250318","DY","0.0064"
"008730","20250318","DY","0.0088"
"008770","20250318","DY","0.0051"
"008830","20250318","DY","0.0017"
"008870","20250318","DY","0.023"
"008930","20250318","DY","0.007"
"009070","20250318","DY","0.0186"
"009140","20250318","DY","0.0188"
"009150","20250318","DY","0.0084"
"009160","20250318","DY","0.0251"
"009180","20250318","DY","0.0434"
"009200","20250318","DY","0.0361"
"009240","20250318","DY","0.1042"
"009270","20250318","DY","0.0513"
"009290","20250318","DY","0.018"
"009300","20250318","DY","0.0463"
"009440","20250318","DY","0.0678"
"009450","20250318","DY","0.0068"
"009470","20250318","DY","0.008"
"009520","20250318","DY","0.0024"
"009580","20250318","DY","0.0341"
"009680","20250318","DY","0.0484"
"009770","20250318","DY","0.0381"
"009780","20250318","DY","0.0166"
"009830","20250318","DY","0.0146"
"009900","20250318","DY","0.0111"
"009970","20250318","DY","0.0417"
"010040","20250318","DY","0.0205"
"010060","20250318","DY","0.042"
"010100","20250318","DY","0.0216"
"010120","20250318","DY","0.0134"
"010130","20250318","DY","0.017"
"010240","20250318","DY","0.0441"
"010420","20250318","DY","0.0209"
"010470","20250318","DY","0.0375"
"010640","20250318","DY","0.0386"
"010660","20250318","DY","0.0095"
"010690","20250318","DY","0.0202"
